composition,score,var,std
Yb1 In1 Pd1,0.9976130980253219,5.948529531275812e-05,0.007712671088070468
Dy3 Co4 Ge13,0.9975764578580856,1.4125731821742487e-05,0.0037584214534485743
Ca1 Zn2 As2,0.9975540781021118,4.233310539725617e-05,0.006506389582345664
Ba1 Mn2 Sb2,0.9975504899024964,3.7171697002514834e-05,0.006096859601673214
Sm3 Ge13 Rh4,0.9975211101770401,1.4562493483627387e-05,0.003816083526814813
Yb3 Ge13 Ir4,0.9974368351697922,1.6129314298812532e-05,0.0040161317581489464
Yb1 Sn1 Pd1,0.997377707362175,2.706233702510405e-05,0.0052021473475002645
Nd3 Ge13 Rh4,0.9973676192760468,1.6043938238821927e-05,0.004005488514378979
Sr1 Zn2 As2,0.9973671871423722,5.180389241281032e-05,0.007197492091889391
Sr1 P2 Ru2,0.9973386764526369,2.441072511459199e-05,0.004940721112812582
Eu1 Mn2 P2,0.9972490072250366,3.440187301123379e-05,0.005865310990155065
Y3 Ge13 Rh4,0.9972436767816544,1.652932816485412e-05,0.0040656276470988
Ca1 P2 Ru2,0.9971569186449052,2.1927791138871078e-05,0.004682711942760421
Tb3 Co4 Ge13,0.9971415716409684,1.9371784742322503e-05,0.004401338971531561
Ca1 Mn2 P2,0.9971391320228576,9.965091683206172e-05,0.00998253058257583
Sm3 Co4 Ge13,0.9970721524953842,1.989630378813365e-05,0.0044605272993373385
Gd3 Co4 Ge13,0.9970721524953842,1.989630378813365e-05,0.0044605272993373385
Lu3 Co4 Ge13,0.9970541071891784,2.0379360089839347e-05,0.0045143504615658
Yb1 Zn2 As2,0.9969674330949784,4.840241230691728e-05,0.006957184222580085
Eu3 Ge13 Os4,0.9969463407993316,2.257400356914023e-05,0.0047512107477084425
Tm1 Sn1 Pt1,0.9969151926040648,3.192510885756967e-05,0.005650230867634496
Yb3 Ge13 Os4,0.9969016206264496,2.503572873595624e-05,0.005003571597964421
Ba1 P2 Ru2,0.9968747848272324,2.819798830586924e-05,0.005310177803602175
Tm3 Co4 Ge13,0.9968687403202056,2.363852992327373e-05,0.0048619471329163725
Y1 Ge1 Pt1,0.9968385487794876,2.8966391363409704e-05,0.0053820434189450475
Sm3 Ge13 Pt4,0.9968158650398254,2.449061731565505e-05,0.0049487995832984645
Er1 Sn1 Au1,0.996809651851654,3.588963670336791e-05,0.0059907959991446795
Ho1 Sn1 Au1,0.996809651851654,3.588963670336791e-05,0.0059907959991446795
Tm3 Ge13 Pt4,0.9967966967821121,2.3269096548581118e-05,0.0048238051938880285
Pr3 Ge13 Pt4,0.9967001390457152,3.17933888564766e-05,0.005638562658734635
Eu1 P2 Ru2,0.9966907387971878,2.9749603025358075e-05,0.005454319666590699
Dy1 Sn1 Au1,0.9966708791255948,3.620799602840765e-05,0.00601730803835134
Yb1 In1 Pt1,0.9966393834352494,6.105229013984796e-05,0.007813596492003408
Sr2 Mn3 Sb2 O2,0.9965769964456558,5.2485786763473276e-05,0.00724470750020132
Ca1 Cu1 P1,0.9965684252977371,4.81781069545557e-05,0.00694104509094673
Th1 As1 S1,0.9965409690141678,5.2860297532013626e-05,0.007270508753313871
